,ProductCode,MemberGrade,MemberName,ProductName,ReviewText,ReviewDate,ReviewLike,pred_label,pred_score
0,1000098225,일반,송**,[아우름] 바다를 품은 톳 해물솥밥키트,간단한 한끼대용으로 좋네요,2023.07.12,0,1,0.9707081913948059
1,1000098225,일반,봉**,[아우름] 바다를 품은 문어솥밥키트,맛있어서 재구매했어요!,2023.07.12,0,1,0.9787582159042358
2,1000098225,화이트,최**,[아우름] 바다를 품은 톳 해물솥밥키트,아침대용으로 간단하고좋아요,2023.07.11,0,1,0.9499666094779968
3,1000098225,라벤더,곽**,[아우름] 바다를 품은 톳 해물솥밥키트,톳좋아해서 주문했어요.,2023.07.11,0,1,0.9818790555000305
4,1000098225,화이트,김**,[아우름] 바다를 품은 톳 해물솥밥키트,지난 번에 간편하면서도 맛있게 먹어서 또 주문 했습니다. ,2023.07.11,0,1,0.9939437508583069
5,1000098225,화이트,김**,[아우름] 바다를 품은 문어솥밥키트,지난번 주문 시 맛있게 먹은 기억으로 재 주문,2023.07.11,0,1,0.9773344397544861
6,1000098225,일반,장**,[아우름] 바다를 품은 문어솥밥키트,밥은 따로 해야하지만 양 넉넉하고 맛도 좋아요 적장히 슴슴하고 추천해요,2023.07.11,0,1,0.9892695546150208
7,1000098225,라벤더,허**,[아우름] 바다를 품은 문어솥밥키트,계속 시켜 먹고 있어요. 진짜 감칠맛 대박이고 맛있어요 양념장까지 들어 있어서 너무 편함,2023.07.11,0,1,0.9930447936058044
8,1000098225,라벤더,L**,[아우름] 바다를 품은 문어솥밥키트,항상 아이가 먼저 찾는 문어솥밥이에요.,2023.07.11,0,1,0.9879741668701172
9,1000098225,프렌즈,조**,[아우름] 바다를 품은 문어솥밥키트,생각보다는 평범했지만 밀키트로 간편하고 맛있게 먹었습니다 ,2023.07.11,0,1,0.9859785437583923
10,1000098225,화이트,선**,[아우름] 바다를 품은 톳 해물솥밥키트,가족들이 주문해서 잘 먹었어요 ㅎㅎ,2023.07.10,0,1,0.9932798743247986
11,1000098225,라벤더,김**,[아우름] 바다를 품은 문어솥밥키트,생각보단 비렸어요 후기가 너무 좋아서 기대가 컸나봐요,2023.07.10,0,0,0.9411388635635376
12,1000098225,퍼플,김**,[아우름] 바다를 품은 문어솥밥키트,문어솥밥 맛있게 잘먹었어요,2023.07.10,0,1,0.9863168597221375
